,HTML,TAG,TC,LTC,TG,P,CTTD,CTTDs
202,"<ul class=""list-text""><li><h4><a href=""https://dunia.tempo.co/read/news/2016/10/03/116809118/di-luar-dugaan-rakyat-kolombia-tolak-berdamai-dengan-farc"" title=""Di Luar Dugaan, Rakyat Kolombia Tolak Berdamai dengan FARC   "">Di Luar Dugaan, Rakyat Kolombia Tolak Berdamai dengan FARC   </a></h4></li><li><h4><a href=""https://bisnis.tempo.co/read/news/2016/10/03/090809113/kantong-plastik-di-toko-retail-digratiskan-lagi"" title=""Kantong Plastik di Toko Retail Digratiskan Lagi"">Kantong Plastik di Toko Retail Digratiskan Lagi</a></h4></li><li><h4><a href=""https://nasional.tempo.co/read/news/2016/10/03/058809110/tabrak-burung-pesawat-garuda-batal-terbang-ke-jakarta"" title=""Tabrak Burung, Pesawat Garuda Batal Terbang ke Jakarta"">Tabrak Burung, Pesawat Garuda Batal Terbang ke Jakarta</a></h4></li><li><h4><a href=""https://dunia.tempo.co/read/news/2016/10/03/118809109/presiden-duterte-mohon-maaf-kepada-yahudi"" title=""Presiden Duterte Mohon Maaf kepada Yahudi"">Presiden Duterte Mohon Maaf kepada Yahudi</a></h4></li><li><h4><a href=""https://bola.tempo.co/read/news/2016/10/03/099809107/8-calon-ketua-umum-pssi-ikuti-debat-terbuka"" title=""8 Calon Ketua Umum PSSI Ikuti Debat Terbuka  "">8 Calon Ketua Umum PSSI Ikuti Debat Terbuka  </a></h4></li></ul>","['ul', 'li', 'h4', 'a', 'li', 'h4', 'a', 'li', 'h4', 'a', 'li', 'h4', 'a', 'li', 'h4', 'a']",-3,38,32,0,48.0,20.0
203, ,[],0,0,2,0,0.0,10.0
204,,[],0,0,1,0,0.0,4.8
205,,[],0,0,1,0,0.0,0.0
206,"<div class=""double-block""></div>",['div'],0,0,1,0,0.0,0.0
207,,[],0,0,0,0,0.0,0.0
208,"<div class=""center-col""></div>",['div'],0,0,1,0,0.0,0.0
209,"<div class=""w100 m10-b""></div>",['div'],0,0,1,0,0.0,0.0
210,"<div class=""artikel""></div>",['div'],0,0,1,0,0.0,1.25
211,"<ul class=""block-kanal-map""></ul>",['ul'],0,0,1,0,0.0,2.5
212,"<li><a class=""shadow fade"" href=""https://www.tempo.co"">home</a></li><li><a class=""shadow fade"" href=""#"">teknologi</a></li><li><a class=""shadow fade"" href=""#"">itempo</a></li> ","['li', 'a', 'li', 'a', 'li', 'a']",-2,3,13,0,12.5,5.7
213,<h1></h1>,['h1'],0,0,1,0,0.0,3.9
214,Samsung Z2 Mulai Dipasarkan di Indonesia  	,[],6,0,1,0,7.0,4.05
215,"<div class=""block-tanggal""></div>",['div'],0,0,1,0,0.0,2.1
216,,[],0,0,0,0,0.0,2.1
217,"Selasa, 04 Oktober 2016 | 10:31 WIB",[],7,0,0,0,7.0,2.8
218,,[],0,0,1,0,0.0,1.4
219,"<div class=""block-display""></div>",['div'],0,0,1,0,0.0,0.7
220,"<div class=""single-img""></div>",['div'],0,0,1,0,0.0,0.0
221,"<div class=""share-display fade""></div>",['div'],0,0,1,0,0.0,0.0
222,<ul></ul>,['ul'],0,0,1,0,0.0,0.0
223,"<li><a href=""javascript:void(0)"" onclick=""popupwindow('https://www.facebook.com/sharer/sharer.php?u=https://tekno.tempo.co/read/news/2016/10/04/172809423/samsung-z2-mulai-dipasarkan-di-indonesia', 'Share Facebook', 600, 400)"" title=""share facebook""><img alt=""share facebook"" src=""https://cdn.tmpo.co/web/teco/images/fb-img-share.png""/></a></li>","['li', 'a', 'img']",0,0,6,0,0.0,0.0
224,"<li><a href=""javascript:void(0)"" onclick=""popupwindow('https://twitter.com/home?status=https://tekno.tempo.co/read/news/2016/10/04/172809423/samsung-z2-mulai-dipasarkan-di-indonesia', 'Twitter Share', 600, 400)"" title=""share twitter""><img alt=""share twitter"" src=""https://cdn.tmpo.co/web/teco/images/twitter-img-share.png""/></a></li>","['li', 'a', 'img']",0,0,6,0,0.0,0.0
